displacement_tonnes,engine_power_kw,hull_coefficient,speed_knots,wave_height_m,wind_speed_kn,current_speed_kn,ship_type,fuel_type,load_condition,fuel_rate_tpd
721.0,5976.0,0.529,19.45,0.53,9.5,1.48,Fast_Patrol,MGO,Ballast,14.024
57.0,3102.0,0.476,21.01,4.44,27.2,0.82,Interceptor,MGO,Laden,5.057
64.0,2942.0,0.426,26.59,2.21,18.4,1.58,Interceptor,MGO,Ballast,6.238
525.0,6412.0,0.472,10.9,2.92,18.6,-0.57,Fast_Patrol,MGO,Laden,4.194
526.0,6262.0,0.45,24.64,1.82,12.5,0.32,Fast_Patrol,MGO,Ballast,24.227
2027.0,12743.0,0.61,5.26,1.94,18.0,0.14,Offshore_Patrol,VLSFO,Ballast,3.38
43.0,2222.0,0.396,19.62,0.45,6.7,3.0,Interceptor,MGO,Laden,1.708
515.0,7352.0,0.46,18.48,2.24,14.7,1.08,Fast_Patrol,MGO,Laden,10.652
668.0,5344.0,0.528,9.04,3.15,17.2,-0.17,Fast_Patrol,MGO,Laden,3.923
69.0,2800.0,0.472,29.62,0.21,10.0,2.44,Interceptor,MGO,Laden,9.707
35.0,2813.0,0.38,32.52,1.22,11.1,2.54,Interceptor,MGO,Laden,7.113
435.0,6286.0,0.557,14.69,0.87,4.0,-0.77,Fast_Patrol,MGO,Laden,8.808
33.0,4158.0,0.438,29.22,2.58,12.0,0.34,Interceptor,MGO,Ballast,6.831
535.0,8935.0,0.529,9.18,2.49,21.2,-0.46,Fast_Patrol,MGO,Ballast,3.197
484.0,5951.0,0.493,15.53,2.91,20.9,-1.89,Fast_Patrol,MGO,Laden,13.647
2855.0,8879.0,0.624,14.27,1.85,16.9,0.22,Offshore_Patrol,VLSFO,Laden,23.74
483.0,5997.0,0.567,6.78,0.28,19.3,-3.0,Fast_Patrol,MGO,Ballast,3.19
58.0,3132.0,0.45,33.69,2.14,21.8,0.1,Interceptor,MGO,Laden,17.78
2359.0,7839.0,0.683,9.97,0.48,7.6,-0.06,Offshore_Patrol,MGO,Laden,10.48
1921.0,11482.0,0.613,11.22,2.45,11.3,-0.08,Offshore_Patrol,MGO,Laden,11.83
554.0,4484.0,0.482,27.2,0.49,16.0,-0.26,Fast_Patrol,MGO,Ballast,38.446
57.0,3622.0,0.387,32.87,0.71,9.6,-0.52,Interceptor,MGO,Laden,12.578
536.0,5144.0,0.454,18.72,3.66,39.1,-2.05,Fast_Patrol,MGO,Laden,21.258
64.0,2929.0,0.459,29.98,1.56,10.3,-1.68,Interceptor,MGO,Ballast,13.381
50.0,1876.0,0.419,13.78,1.61,8.2,-0.07,Interceptor,MGO,Ballast,1.148
88.0,3403.0,0.398,10.23,0.69,16.3,-0.06,Interceptor,MGO,Laden,0.903
2320.0,7490.0,0.558,10.51,3.4,26.6,1.03,Offshore_Patrol,HFO,Ballast,9.454
676.0,5872.0,0.51,27.79,2.23,24.6,-0.57,Fast_Patrol,MGO,Laden,66.269
549.0,6640.0,0.552,9.0,2.11,11.5,-1.29,Fast_Patrol,MGO,Ballast,3.779
1981.0,12406.0,0.593,17.63,0.6,2.4,-0.37,Offshore_Patrol,MGO,Laden,35.329
617.0,6779.0,0.466,13.84,1.84,10.9,-2.64,Fast_Patrol,MGO,Ballast,10.372
571.0,6392.0,0.432,26.42,7.71,37.4,0.21,Fast_Patrol,MGO,Ballast,47.264
62.0,2605.0,0.459,26.81,0.95,8.1,0.69,Interceptor,MGO,Ballast,6.232
63.0,2799.0,0.38,30.37,3.58,17.1,1.58,Interceptor,MGO,Laden,10.143
718.0,6965.0,0.502,20.92,0.16,6.3,0.33,Fast_Patrol,MGO,Laden,21.102
514.0,4801.0,0.531,6.61,2.86,21.7,-1.35,Fast_Patrol,MGO,Ballast,2.444
514.0,6587.0,0.381,25.31,2.31,14.4,-0.83,Fast_Patrol,MGO,Laden,29.348
2587.0,8166.0,0.692,20.76,1.44,16.2,-0.22,Offshore_Patrol,VLSFO,Ballast,78.078
639.0,6016.0,0.539,9.34,2.21,19.1,-0.84,Fast_Patrol,MGO,Ballast,4.324
512.0,6150.0,0.445,11.02,2.26,25.2,-1.41,Fast_Patrol,MGO,Ballast,5.249
610.0,5565.0,0.529,21.83,2.24,27.7,-0.73,Fast_Patrol,MGO,Laden,33.291
63.0,2368.0,0.455,29.69,1.24,13.1,1.16,Interceptor,MGO,Ballast,9.221
75.0,3044.0,0.38,24.31,1.13,13.9,0.45,Interceptor,MGO,Ballast,5.562
831.0,4856.0,0.42,21.35,0.85,13.0,1.02,Fast_Patrol,MGO,Ballast,19.596
69.0,3639.0,0.431,29.9,0.4,17.0,-0.95,Interceptor,MGO,Laden,12.0
433.0,4542.0,0.441,20.19,1.59,7.5,1.64,Fast_Patrol,MGO,Laden,11.86
2329.0,7872.0,0.677,22.39,3.26,21.7,0.41,Offshore_Patrol,MGO,Laden,91.562
67.0,3560.0,0.422,26.21,1.08,4.6,0.48,Interceptor,MGO,Laden,7.433
71.0,3952.0,0.398,24.96,0.6,5.4,-0.07,Interceptor,MGO,Ballast,5.499
33.0,4037.0,0.436,6.4,0.87,8.3,-2.97,Interceptor,MGO,Laden,0.447
33.0,1772.0,0.417,18.81,1.8,11.4,1.65,Interceptor,MGO,Ballast,1.273
734.0,6385.0,0.525,5.12,1.8,17.9,0.36,Fast_Patrol,MGO,Ballast,1.843
491.0,6597.0,0.549,10.74,0.79,12.2,-1.22,Fast_Patrol,MGO,Laden,4.598
1653.0,13259.0,0.658,22.48,1.62,14.7,2.48,Offshore_Patrol,MGO,Ballast,46.904
711.0,5845.0,0.5,12.93,1.42,15.1,0.02,Fast_Patrol,MGO,Ballast,6.239
632.0,5982.0,0.596,14.21,2.44,28.5,-0.45,Fast_Patrol,MGO,Ballast,10.987
2095.0,9653.0,0.648,5.4,4.19,31.9,-1.17,Offshore_Patrol,MGO,Ballast,5.206
59.0,2284.0,0.462,6.02,1.05,4.7,-0.76,Interceptor,MGO,Laden,0.439
57.0,1915.0,0.442,7.77,0.92,6.6,-1.93,Interceptor,MGO,Laden,0.669
69.0,3379.0,0.438,21.23,1.78,11.3,-0.54,Interceptor,MGO,Ballast,4.75
622.0,5136.0,0.459,6.7,2.05,24.4,-0.15,Fast_Patrol,MGO,Ballast,2.14
532.0,6604.0,0.459,20.53,2.54,17.7,0.66,Fast_Patrol,MGO,Laden,15.74
60.0,2584.0,0.432,6.42,0.33,1.8,-2.19,Interceptor,MGO,Laden,0.516
520.0,6073.0,0.488,25.5,5.84,34.3,-0.97,Fast_Patrol,MGO,Laden,50.053
69.0,2706.0,0.401,32.4,1.3,9.9,-1.48,Interceptor,MGO,Laden,17.119
463.0,5561.0,0.486,27.76,0.97,7.7,1.08,Fast_Patrol,MGO,Ballast,32.794
551.0,7039.0,0.511,23.35,0.6,4.8,0.81,Fast_Patrol,VLSFO,Laden,24.873
528.0,6774.0,0.47,9.66,1.1,16.0,-2.29,Fast_Patrol,MGO,Laden,4.465
41.0,2870.0,0.408,18.51,0.39,5.9,-0.33,Interceptor,MGO,Ballast,1.893
573.0,4157.0,0.523,16.76,3.56,26.0,1.68,Fast_Patrol,MGO,Ballast,9.751
381.0,6059.0,0.522,26.06,1.44,17.4,0.88,Fast_Patrol,VLSFO,Laden,29.569
60.0,3230.0,0.43,26.0,0.93,14.7,-0.42,Interceptor,MGO,Ballast,6.707
40.0,2109.0,0.413,9.43,3.1,20.6,0.51,Interceptor,MGO,Ballast,0.414
2167.0,11920.0,0.649,20.08,1.37,19.2,0.96,Offshore_Patrol,MGO,Ballast,44.146
2187.0,8953.0,0.61,23.6,0.92,10.4,2.11,Offshore_Patrol,MGO,Ballast,54.223
553.0,4850.0,0.565,6.53,4.72,30.4,-0.52,Fast_Patrol,MGO,Ballast,2.288
66.0,2245.0,0.464,30.43,1.13,16.4,1.63,Interceptor,MGO,Laden,11.242
2127.0,8825.0,0.655,20.47,0.21,8.2,-0.66,Offshore_Patrol,MGO,Laden,64.128
2226.0,3735.0,0.656,7.33,1.61,16.1,-0.72,Offshore_Patrol,VLSFO,Ballast,5.892
702.0,6167.0,0.48,10.25,1.46,11.9,-0.22,Fast_Patrol,MGO,Laden,4.053
663.0,2218.0,0.513,11.09,0.95,10.7,0.19,Fast_Patrol,MGO,Laden,4.487
32.0,3001.0,0.424,19.34,0.83,6.3,0.91,Interceptor,MGO,Laden,1.789
65.0,3719.0,0.435,21.76,1.72,14.2,-0.12,Interceptor,MGO,Ballast,4.56
2168.0,10821.0,0.654,24.15,1.15,9.8,-0.61,Offshore_Patrol,MGO,Ballast,99.272
553.0,6237.0,0.524,19.02,1.3,14.0,-1.03,Fast_Patrol,MGO,Laden,20.86
38.0,2985.0,0.38,24.45,1.99,24.6,0.71,Interceptor,MGO,Laden,4.261
54.0,2525.0,0.458,21.2,1.24,11.6,0.05,Interceptor,MGO,Laden,4.134
857.0,6854.0,0.5,26.88,1.0,14.9,0.35,Fast_Patrol,MGO,Ballast,49.882
73.0,1711.0,0.397,21.9,2.57,21.1,0.47,Interceptor,MGO,Laden,5.043
1712.0,9693.0,0.596,15.04,1.15,17.6,1.67,Offshore_Patrol,MGO,Ballast,15.316
1817.0,8799.0,0.607,16.48,0.95,19.2,1.34,Offshore_Patrol,VLSFO,Laden,23.037
481.0,5867.0,0.492,16.1,0.48,5.3,0.9,Fast_Patrol,MGO,Laden,7.199
540.0,4602.0,0.417,17.97,0.76,1.0,-0.18,Fast_Patrol,MGO,Ballast,10.011
376.0,8348.0,0.503,19.72,0.57,2.2,-1.54,Fast_Patrol,MGO,Ballast,13.239
502.0,7387.0,0.524,24.59,0.45,12.6,-0.58,Fast_Patrol,MGO,Laden,35.555
765.0,5363.0,0.498,11.59,0.84,11.6,-0.11,Fast_Patrol,MGO,Laden,5.144
63.0,3572.0,0.38,27.34,2.03,12.3,-0.82,Interceptor,MGO,Laden,8.447
506.0,5687.0,0.469,19.4,1.57,22.4,0.68,Fast_Patrol,MGO,Laden,15.089
35.0,2558.0,0.486,29.19,1.22,10.7,0.08,Interceptor,MGO,Ballast,7.957
367.0,3623.0,0.433,26.28,2.21,16.5,-1.08,Fast_Patrol,MGO,Ballast,31.399
50.0,2312.0,0.448,14.18,1.01,9.6,1.63,Interceptor,MGO,Laden,0.958
37.0,1971.0,0.459,32.66,1.93,22.9,0.53,Interceptor,MGO,Laden,11.587
35.0,2137.0,0.438,15.62,2.5,16.1,0.12,Interceptor,MGO,Ballast,1.285
655.0,6568.0,0.518,26.6,0.22,12.7,1.31,Fast_Patrol,VLSFO,Laden,40.312
62.0,2423.0,0.416,13.17,1.55,17.1,-0.94,Interceptor,MGO,Ballast,1.446
1898.0,10065.0,0.594,10.66,2.12,24.6,-0.75,Offshore_Patrol,HFO,Ballast,11.943
597.0,4357.0,0.501,13.8,2.02,21.0,-0.43,Fast_Patrol,MGO,Laden,9.559
68.0,2857.0,0.409,14.34,1.62,16.5,0.63,Interceptor,MGO,Ballast,1.426
650.0,6800.0,0.556,7.57,1.06,14.8,0.4,Fast_Patrol,MGO,Laden,2.588
67.0,2275.0,0.451,15.76,1.34,13.5,3.0,Interceptor,MGO,Ballast,1.124
2038.0,9069.0,0.66,21.93,3.72,23.8,-1.16,Offshore_Patrol,MGO,Laden,105.842
514.0,7231.0,0.442,26.26,0.28,10.0,0.1,Fast_Patrol,MGO,Laden,32.86
1900.0,7302.0,0.632,22.54,0.88,9.9,-0.32,Offshore_Patrol,MGO,Ballast,68.839
69.0,3111.0,0.465,14.51,1.56,20.7,0.53,Interceptor,MGO,Laden,1.555
429.0,5916.0,0.481,26.18,0.46,13.9,1.04,Fast_Patrol,MGO,Ballast,23.218
528.0,4723.0,0.447,7.24,1.27,15.5,0.28,Fast_Patrol,MGO,Ballast,1.743
2441.0,9653.0,0.636,21.32,2.59,25.5,0.44,Offshore_Patrol,VLSFO,Laden,78.718
617.0,7499.0,0.541,6.87,2.3,21.3,-0.43,Fast_Patrol,MGO,Laden,2.412
541.0,6003.0,0.55,9.26,1.54,16.8,1.96,Fast_Patrol,MGO,Ballast,2.501
60.0,2852.0,0.417,30.31,1.76,12.4,-0.57,Interceptor,MGO,Laden,11.973
56.0,4333.0,0.503,21.83,0.11,6.9,-3.0,Interceptor,MGO,Ballast,6.012
597.0,6112.0,0.577,19.88,0.6,10.9,-0.72,Fast_Patrol,MGO,Laden,23.528
486.0,4882.0,0.521,11.96,0.96,12.6,2.86,Fast_Patrol,VLSFO,Laden,2.762
44.0,1977.0,0.412,34.03,1.19,13.5,-1.42,Interceptor,MGO,Ballast,14.478
1616.0,8657.0,0.643,9.14,2.67,22.1,0.58,Offshore_Patrol,MGO,Laden,6.785
1306.0,10334.0,0.564,7.54,4.89,44.8,-0.96,Offshore_Patrol,HFO,Ballast,5.595
53.0,3097.0,0.38,7.52,1.32,13.6,0.56,Interceptor,MGO,Ballast,0.37
601.0,6232.0,0.532,10.52,1.28,16.4,1.33,Fast_Patrol,MGO,Ballast,3.231
40.0,3104.0,0.38,23.42,1.53,14.3,-0.55,Interceptor,MGO,Laden,4.461
550.0,5757.0,0.517,23.39,0.82,11.6,1.54,Fast_Patrol,MGO,Ballast,21.625
47.0,2382.0,0.38,7.88,4.03,25.0,1.3,Interceptor,MGO,Ballast,0.339
465.0,4406.0,0.523,10.61,0.74,6.6,0.38,Fast_Patrol,MGO,Laden,3.039
567.0,7608.0,0.502,27.09,0.76,7.2,-0.09,Fast_Patrol,MGO,Laden,43.691
2787.0,8495.0,0.655,24.53,1.0,4.1,-0.27,Offshore_Patrol,HFO,Ballast,122.177
61.0,3057.0,0.403,18.77,4.43,32.3,-0.98,Interceptor,MGO,Laden,4.356
1673.0,8156.0,0.598,22.45,2.11,13.3,-1.35,Offshore_Patrol,MGO,Laden,75.683
58.0,3462.0,0.411,16.48,1.52,8.8,0.7,Interceptor,MGO,Laden,1.778
106.0,3058.0,0.447,25.42,1.22,23.2,0.41,Interceptor,MGO,Laden,9.393
504.0,8111.0,0.525,15.08,1.44,19.5,0.5,Fast_Patrol,VLSFO,Laden,8.649
624.0,7222.0,0.586,14.72,0.62,19.1,1.21,Fast_Patrol,MGO,Laden,7.411
2440.0,8020.0,0.602,22.13,0.19,6.0,-0.03,Offshore_Patrol,MGO,Laden,75.814
2243.0,7409.0,0.587,20.6,2.85,20.8,1.6,Offshore_Patrol,HFO,Laden,53.921
40.0,3831.0,0.419,27.36,0.51,10.3,-1.96,Interceptor,MGO,Ballast,7.588
1687.0,8059.0,0.623,7.13,3.92,30.7,2.16,Offshore_Patrol,MGO,Laden,3.833
58.0,1693.0,0.454,12.14,2.16,16.5,-0.04,Interceptor,MGO,Ballast,1.047
655.0,7043.0,0.509,26.7,1.32,9.4,-0.85,Fast_Patrol,MGO,Ballast,45.721
39.0,2495.0,0.422,10.81,2.03,20.4,-0.13,Interceptor,MGO,Ballast,0.584
1947.0,9777.0,0.617,15.29,1.67,7.4,1.9,Offshore_Patrol,MGO,Laden,17.496
54.0,3885.0,0.421,17.59,1.46,17.0,-0.79,Interceptor,MGO,Laden,2.664
55.0,3547.0,0.397,12.26,1.55,13.1,0.12,Interceptor,MGO,Ballast,0.788
610.0,8118.0,0.501,7.76,2.87,26.4,-1.24,Fast_Patrol,MGO,Ballast,3.337
1887.0,7651.0,0.564,7.31,2.06,23.0,0.48,Offshore_Patrol,MGO,Ballast,4.573
2143.0,6884.0,0.548,13.45,1.38,16.5,1.5,Offshore_Patrol,VLSFO,Laden,13.195
354.0,4743.0,0.508,7.64,2.54,14.7,0.34,Fast_Patrol,MGO,Ballast,1.401
1693.0,10421.0,0.612,8.23,4.24,23.2,-0.43,Offshore_Patrol,VLSFO,Ballast,6.577
1929.0,8751.0,0.653,14.59,1.37,5.6,-0.49,Offshore_Patrol,VLSFO,Laden,25.631
434.0,4729.0,0.494,14.97,0.88,8.0,0.13,Fast_Patrol,MGO,Ballast,5.772
73.0,3324.0,0.477,25.3,2.67,13.8,0.66,Interceptor,MGO,Ballast,7.396
1985.0,10382.0,0.649,18.43,1.38,13.2,1.04,Offshore_Patrol,MGO,Laden,36.423
474.0,5503.0,0.51,18.5,3.25,20.1,-1.25,Fast_Patrol,MGO,Ballast,16.583
454.0,6357.0,0.493,16.69,0.61,5.9,-0.58,Fast_Patrol,MGO,Ballast,9.479
53.0,3740.0,0.38,20.53,1.08,11.5,1.74,Interceptor,MGO,Ballast,2.391
485.0,5649.0,0.546,26.96,5.15,37.9,0.6,Fast_Patrol,MGO,Ballast,47.735
57.0,1850.0,0.432,29.81,1.04,7.3,0.18,Interceptor,MGO,Laden,9.464
2441.0,8603.0,0.66,21.82,3.32,22.8,0.94,Offshore_Patrol,MGO,Laden,79.927
54.0,3477.0,0.413,34.44,0.85,11.9,-2.81,Interceptor,MGO,Ballast,17.799
39.0,3639.0,0.451,16.34,2.53,19.6,0.81,Interceptor,MGO,Laden,1.456
1836.0,7971.0,0.612,6.61,0.72,8.6,3.0,Offshore_Patrol,VLSFO,Laden,3.359
50.0,2605.0,0.419,32.36,2.71,24.7,0.09,Interceptor,MGO,Laden,15.794
54.0,4578.0,0.42,28.32,1.25,8.0,0.34,Interceptor,MGO,Laden,8.745
661.0,4776.0,0.542,27.84,1.07,15.6,-0.39,Fast_Patrol,VLSFO,Laden,61.722
1610.0,5862.0,0.606,22.84,1.27,24.1,-1.15,Offshore_Patrol,MGO,Ballast,75.67
61.0,3118.0,0.409,9.47,1.57,15.8,-0.6,Interceptor,MGO,Ballast,0.689
68.0,1684.0,0.476,30.08,1.79,13.5,1.08,Interceptor,MGO,Ballast,11.17
1782.0,6966.0,0.616,8.79,0.56,1.1,0.68,Offshore_Patrol,VLSFO,Laden,5.769
2147.0,7429.0,0.652,23.87,1.93,14.1,-1.05,Offshore_Patrol,MGO,Ballast,94.192
634.0,6007.0,0.587,5.94,0.44,9.5,-0.76,Fast_Patrol,MGO,Laden,2.026
56.0,3229.0,0.42,19.45,2.99,22.4,-0.74,Interceptor,MGO,Ballast,3.479
56.0,2568.0,0.499,26.27,2.03,16.9,0.2,Interceptor,MGO,Ballast,7.595
34.0,3699.0,0.431,26.08,2.03,16.6,-0.24,Interceptor,MGO,Ballast,4.851
68.0,3329.0,0.421,31.58,2.69,18.7,-0.08,Interceptor,MGO,Laden,14.702
499.0,5887.0,0.499,8.81,2.08,17.2,-1.29,Fast_Patrol,MGO,Laden,3.315
50.0,2641.0,0.414,27.83,4.36,27.1,1.95,Interceptor,MGO,Laden,7.514
621.0,7010.0,0.512,17.73,0.73,9.9,0.36,Fast_Patrol,MGO,Ballast,11.822
589.0,6053.0,0.51,26.85,0.53,9.0,-0.63,Fast_Patrol,MGO,Ballast,38.68
546.0,3715.0,0.508,11.44,4.46,38.8,-0.95,Fast_Patrol,MGO,Laden,6.331
71.0,3901.0,0.443,29.74,2.09,13.7,-0.46,Interceptor,MGO,Laden,13.84
1291.0,9506.0,0.685,14.64,2.25,22.2,1.41,Offshore_Patrol,MGO,Ballast,12.449
688.0,6463.0,0.545,13.44,0.67,13.3,1.81,Fast_Patrol,MGO,Ballast,4.841
471.0,7898.0,0.435,10.31,2.17,16.8,-0.76,Fast_Patrol,MGO,Laden,3.819
80.0,3564.0,0.396,14.63,1.44,10.3,-0.53,Interceptor,MGO,Laden,2.031
57.0,2503.0,0.426,34.19,2.5,26.7,-2.01,Interceptor,MGO,Laden,21.517
2479.0,8804.0,0.602,6.14,1.63,8.3,-1.93,Offshore_Patrol,MGO,Ballast,6.159
556.0,6035.0,0.518,27.25,1.44,9.5,0.16,Fast_Patrol,MGO,Laden,41.612
45.0,2909.0,0.42,24.85,1.65,9.5,-0.38,Interceptor,MGO,Ballast,4.938
424.0,7184.0,0.58,8.54,0.96,7.4,-0.43,Fast_Patrol,MGO,Laden,2.563
430.0,5394.0,0.555,17.98,1.14,10.7,-0.59,Fast_Patrol,MGO,Laden,12.991
2008.0,7154.0,0.609,20.82,3.43,33.0,0.39,Offshore_Patrol,VLSFO,Ballast,62.675
60.0,3310.0,0.433,28.21,2.21,16.1,0.16,Interceptor,MGO,Laden,9.945
2173.0,3995.0,0.621,5.94,1.37,23.7,1.25,Offshore_Patrol,VLSFO,Ballast,4.173
65.0,2781.0,0.434,30.77,2.19,22.7,3.0,Interceptor,MGO,Ballast,9.744
387.0,6679.0,0.55,5.53,1.97,14.3,-1.28,Fast_Patrol,VLSFO,Ballast,1.684
432.0,5106.0,0.534,18.84,1.17,9.5,-1.48,Fast_Patrol,MGO,Laden,16.726
55.0,2799.0,0.436,8.71,0.96,11.8,1.94,Interceptor,MGO,Ballast,0.375
52.0,3022.0,0.424,15.09,1.14,12.2,-0.07,Interceptor,MGO,Laden,1.618
560.0,5704.0,0.476,14.03,3.08,17.7,0.97,Fast_Patrol,MGO,Ballast,5.885
2088.0,9833.0,0.609,17.55,1.36,9.5,-1.35,Offshore_Patrol,VLSFO,Ballast,41.374
514.0,5714.0,0.47,18.01,3.37,17.5,-1.27,Fast_Patrol,MGO,Ballast,15.389
1733.0,10579.0,0.597,20.94,1.06,20.2,1.04,Offshore_Patrol,VLSFO,Laden,50.202
1567.0,10736.0,0.615,14.26,0.87,10.9,-1.5,Offshore_Patrol,HFO,Ballast,21.242
518.0,6572.0,0.47,6.85,1.42,12.0,1.72,Fast_Patrol,MGO,Laden,1.604
1720.0,7263.0,0.588,18.62,1.88,12.9,1.01,Offshore_Patrol,MGO,Laden,27.975
68.0,2361.0,0.483,30.08,1.65,12.1,-0.82,Interceptor,MGO,Laden,15.84
67.0,1660.0,0.437,32.66,2.05,10.0,1.87,Interceptor,MGO,Ballast,13.42
1398.0,10848.0,0.649,16.45,2.09,18.4,0.65,Offshore_Patrol,HFO,Laden,26.088
2139.0,10019.0,0.679,6.41,2.43,23.5,-0.24,Offshore_Patrol,VLSFO,Ballast,5.069
55.0,3143.0,0.524,27.68,0.69,17.0,0.11,Interceptor,MGO,Ballast,8.638
514.0,5011.0,0.454,7.09,0.99,14.9,-2.32,Fast_Patrol,MGO,Laden,3.035
763.0,4242.0,0.538,7.12,1.72,19.1,-1.6,Fast_Patrol,MGO,Ballast,3.856
1935.0,10010.0,0.609,18.87,1.17,17.8,0.93,Offshore_Patrol,MGO,Ballast,34.907
414.0,6564.0,0.559,24.21,1.43,12.8,0.27,Fast_Patrol,MGO,Ballast,30.272
401.0,6519.0,0.517,21.66,1.56,7.7,1.76,Fast_Patrol,MGO,Ballast,13.11
449.0,6135.0,0.532,7.95,1.31,16.8,0.48,Fast_Patrol,MGO,Ballast,2.018
541.0,7119.0,0.512,12.27,1.15,8.4,-1.43,Fast_Patrol,MGO,Laden,6.233
612.0,5757.0,0.523,15.04,0.81,9.4,-1.24,Fast_Patrol,MGO,Ballast,10.367
1386.0,7903.0,0.687,24.05,1.34,8.0,-0.98,Offshore_Patrol,MGO,Laden,78.067
624.0,6338.0,0.415,7.27,1.12,17.5,-0.7,Fast_Patrol,MGO,Laden,2.478
35.0,1807.0,0.422,19.47,2.6,24.9,0.19,Interceptor,MGO,Ballast,2.169
67.0,2404.0,0.458,12.53,2.26,11.5,1.43,Interceptor,MGO,Laden,0.939
663.0,5580.0,0.513,24.32,0.68,9.6,0.75,Fast_Patrol,MGO,Laden,34.631
1753.0,8761.0,0.616,11.86,4.02,34.3,1.52,Offshore_Patrol,HFO,Ballast,10.46
48.0,1937.0,0.391,20.75,1.14,11.2,0.49,Interceptor,MGO,Laden,2.755
63.0,2011.0,0.476,16.92,0.52,8.1,-0.5,Interceptor,MGO,Laden,2.528
537.0,5690.0,0.483,13.35,1.04,16.1,-1.66,Fast_Patrol,MGO,Laden,7.289
62.0,3256.0,0.392,31.57,0.45,6.4,0.76,Interceptor,MGO,Ballast,9.183
2261.0,12297.0,0.592,7.52,0.51,7.6,-0.11,Offshore_Patrol,MGO,Ballast,5.466
32.0,2867.0,0.438,22.02,7.03,50.0,0.95,Interceptor,MGO,Laden,4.286
61.0,2845.0,0.409,16.76,2.52,15.1,-0.72,Interceptor,MGO,Laden,2.611
2517.0,12019.0,0.647,10.13,0.63,5.3,1.96,Offshore_Patrol,VLSFO,Laden,7.092
68.0,2210.0,0.438,19.95,0.36,0.0,1.97,Interceptor,MGO,Laden,2.52
70.0,2606.0,0.411,33.01,1.42,23.6,-1.05,Interceptor,MGO,Ballast,18.372
62.0,3226.0,0.388,23.4,0.31,7.4,0.39,Interceptor,MGO,Ballast,4.317
30.0,2969.0,0.409,11.87,1.38,18.5,-1.88,Interceptor,MGO,Ballast,0.82
79.0,3494.0,0.482,20.0,1.97,10.9,-0.98,Interceptor,MGO,Ballast,5.038
66.0,3579.0,0.439,18.97,2.08,23.7,-1.05,Interceptor,MGO,Ballast,3.561
42.0,2849.0,0.38,14.31,0.62,7.3,-0.72,Interceptor,MGO,Laden,1.172
48.0,1889.0,0.464,27.09,1.78,22.6,-0.33,Interceptor,MGO,Ballast,7.525
